lead_id,reason,demo_url_lineage,disposition
0000,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0000,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0001,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0001,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0002,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0002,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0003,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0003,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0004,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0004,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0005,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0005,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0006,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0006,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0007,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0007,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0008,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0008,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0009,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0009,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
0010,Fukuoka spiritual/energy/healing/hypno (already analyzed; Fukuoka worklog 260223),https://kimotostudio12.netlify.app/0010,DO_NOT_RETARGET (spiritual-first = Exclude per Yu decision 1; already demoed)
